101 1206.46 233.86 6.7
102 1368.79 11.57 7.68
103 1285.92 11.01 7.87
104 1085.63 11.03 7.59
105 1293.88 12.19 7.65
106 1374.28 17.08 10.08
107 1684.64 39.43 13.48
108 1328.08 15.73 9.89
109 1467.69 50.11 28.21
110 1564.78 105.02 37.38
111 1808.1 79.31 16.63
112 1539.6 23.17 8.41
113 1361.41 13.24 7.87
114 1894.22 29.18 10.68
115 1833.94 46.46 11.49
116 1475.19 13.8 9
117 1353.39 13.49 8.03
118 1460.05 14.32 8.99
119 1434.22 14.17 30.19
120 1476.82 20.11 11.35
121 1693.59 48.03 14.58
122 1736.58 92.71 24.72
123 2732.79 116.14 36.76
124 1813.82 61.13 11.38
125 2500.43 217.71 63.71
126 1641.8 17.71 10.55
127 1638.88 31.34 12.15
128 1514.35 14.21 9.91
129 2519.64 117.56 30.22
130 2237.66 179.84 69.9
131 1597.98 35.3 15.13
132 1589.49 37.27 14.32
133 1456.14 29.29 14.06
134 1521.25 14.97 9.62
135 1440.71 13.52 9.09
136 1387.89 13.42 8.75
137 1348.36 14.09 9.95
138 1441.5 13.81 9.6
139 1306.5 29.67 9.64
140 1464.71 16.41 9.65
141 1463.15 15.21 10.55
142 1497.92 14.65 9.72
143 1476.01 14.31 9.16
144 1544.75 14.55 9.7
145 1292.42 14.57 10.12
146 1419.47 15.21 9.97
147 1507.05 14.51 10.51
148 1493.47 16.32 24.3
149 1422.41 14.82 10.34
150 1404.69 14.93 10.93
